2d3ab978-ff30-471a-a8e2-3b1de505a23d,../../vits/audios_ljs_real/audio_100025.wav,READY,The alchemist told the boy to place the shell over his ear.,0.0,0.0
49773eb2-f685-4ef8-85dc-7fde23efedf3,../../vits/audios_ljs_real/audio_1.wav,READY,I'm interested only in the present.,0.0,0.0
f0d0943f-9cef-454d-9419-c5dd0477a3cb,../../vits/audios_ljs_real/audio_10.wav,READY,The boy looked out at the horizon.,0.0,0.0
aaf76b4d-93ee-43bc-96ea-7755278f9192,../../vits/audios_ljs_real/audio_10058.wav,READY,And that's where the power of love comes in.,0.0,0.0
1bb8c6fe-29e2-48c8-b39f-129847ab5eba,../../vits/audios_ljs_real/audio_10056.wav,READY,It was the pure language of the world.,0.0,0.0
c485bf92-3e79-425f-9d85-083c3e642200,../../vits/audios_ljs_real/audio_10059.wav,READY,"He dressed in his Arabian clothing of white linen, boy especially for this day.",0.05194805194805195,0.07142857142857142
e3a8152e-4588-4f97-8bd5-fe1d90e29e21,../../vits/audios_ljs_real/audio_10092.wav,READY,am all about those invisible cosmic connections that transcend time and distance.,0.0125,0.08333333333333333
1ad8d411-f3ff-41e4-849f-ccc2bbbfb0ac,../../vits/audios_ljs_real/audio_1012.wav,READY,I myself heard nothing of that.,0.0,0.0
85fb1c5e-5a13-476f-9a59-5968b5c311db,../../vits/audios_ljs_real/audio_10219.wav,READY,to realize one's destiny is a person's only real obligation.,0.0,0.0
b2d6227d-a69c-40d6-b4b1-b51690af4b5f,../../vits/audios_ljs_real/audio_10220.wav,READY,"They are not my sheep any more, he said to himself without nostalgia.",0.029850746268656716,0.23076923076923078
15b0b656-d3c6-4fd8-b93f-15e181172264,../../vits/audios_ljs_real/audio_10222.wav,READY,"On the following day, the first clear sign of danger appeared.",0.0,0.0
29afc7c4-8ac0-45c1-b335-e91835c41e7e,../../vits/audios_ljs_real/audio_1023.wav,READY,But that was simply because my eye was tired.,0.0,0.0
1942af12-d83a-4579-9855-a32ca08133df,../../vits/audios_ljs_real/audio_10236.wav,READY,It was as if the world had fallen silent because the boy's soul had.,0.0,0.0
55ecaeb4-48a3-4577-8599-a4607b250615,../../vits/audios_ljs_real/audio_10241.wav,READY,There was a murmur from the crowd.,0.0,0.0
901ab72b-9e14-40f0-88af-93444e3b2658,../../vits/audios_ljs_real/audio_10243.wav,READY,You have enough gold to buy many sheep and many camels.,0.0,0.0
